,['RPI'],['W875RX1'],['DPCERA3M086SBEA'],['CMRMTSPLx'],['RETAILx'],['INDPRO'],['IPFPNSS'],['IPFINAL'],['IPCONGD'],['IPDCONGD'],['IPNCONGD'],['IPBUSEQ'],['IPMAT'],['IPDMAT'],['IPNMAT'],['IPMANSICS'],['IPB51222S'],['IPFUELS'],['CUMFNS'],['HWI'],['HWIURATIO'],['CLF16OV'],['CE16OV'],['UNRATE'],['UEMPMEAN'],['UEMPLT5'],['UEMP5TO14'],['UEMP15OV'],['UEMP15T26'],['UEMP27OV'],['CLAIMSx'],['PAYEMS'],['USGOOD'],['CES1021000001'],['USCONS'],['MANEMP'],['DMANEMP'],['NDMANEMP'],['SRVPRD'],['USTPU'],['USWTRADE'],['USTRADE'],['USFIRE'],['USGOVT'],['CES0600000007'],['AWOTMAN'],['AWHMAN'],['HOUST'],['HOUSTNE'],['HOUSTMW'],['HOUSTS'],['HOUSTW'],['PERMIT'],['PERMITNE'],['PERMITMW'],['PERMITS'],['PERMITW'],['AMDMNOx'],['AMDMUOx'],['BUSINVx'],['ISRATIOx'],['M1SL'],['M2SL'],['M2REAL'],['BOGMBASE'],['TOTRESNS'],['NONBORRES'],['BUSLOANS'],['REALLN'],['NONREVSL'],['CONSPI'],['S&P 500'],['S&P: indust'],['S&P div yield'],['S&P PE ratio'],['FEDFUNDS'],['TB3MS'],['TB6MS'],['GS1'],['GS5'],['GS10'],['AAA'],['BAA'],['TB3SMFFM'],['TB6SMFFM'],['T1YFFM'],['T5YFFM'],['T10YFFM'],['AAAFFM'],['BAAFFM'],['EXSZUSx'],['EXJPUSx'],['EXUSUKx'],['EXCAUSx'],['WPSFD49207'],['WPSFD49502'],['WPSID61'],['WPSID62'],['OILPRICEx'],['PPICMM'],['CPIAUCSL'],['CPIAPPSL'],['CPITRNSL'],['CPIMEDSL'],['CUSR0000SAC'],['CUSR0000SAD'],['CUSR0000SAS'],['CPIULFSL'],['CUSR0000SA0L2'],['CUSR0000SA0L5'],['PCEPI'],['DDURRG3M086SBEA'],['DNDGRG3M086SBEA'],['DSERRG3M086SBEA'],['CES0600000008'],['CES2000000008'],['CES3000000008'],['DTCOLNVHFNM'],['DTCTHFNM'],['INVEST'],IP
Feb-60,0.00322589,0.004660908,0.00279064,0.016963157,0.026605507,0.025917132,0.02409495,0.029020872,0.031235377,0.103830831,0.004560558,0.036326317,0.028483925,0.03905042,0.015241702,0.026968431,-0.008822267,-0.012664916,1.9934,426,0.122288167,-0.000463916,9.18E-05,-0.1,0.4,-0.011532753,-0.071095922,-0.005449605,-0.006644543,-0.004291852,0.015470051,0.001844202,0.003391924,-0.012314534,-0.012173205,0.007293698,0.010823788,0.002190581,0.000977967,0.002436494,-0.001428679,0.004728397,0.002005214,-0.007316374,40.1,0.3,40.6,7.286191715,5.613128106,5.880532986,6.226536669,5.774551546,6.995766156,5.505331536,5.533389489,5.802118375,5.568344504,-0.03901731,-0.028030891,0.008538285,-0.010331126,0.004282151,-0.001011056,0.002662855,-0.027374781,-0.031859508,-0.011235955,-0.006756504,-0.009353685,-0.021859426,-0.000345695,-0.017593758,-0.020504573,0.11818887,-0.025551636,0,-0.14,-0.11,-0.11,-0.09,0.03,0.03,0.06,0.36,0.75,1.04,0.93,0.73,0.62,1.35,0.000647339,0.000360537,0.000500161,0.001995275,0.003025721,0.003016594,-0.003241494,0.009873867,0,0.020644984,-0.003403214,0,-0.00332779,0.004576667,0,0,-0.004228336,-1.15E-05,-0.003220615,-0.006677803,-0.001750689,-0.002588261,-0.001845166,-0.001245773,-0.004680357,0.007797281,-0.009705308,0.004292359,-0.011738863,-0.013330266,-0.008938853
Mar-60,0.001147469,0.000905958,0.00436061,0.014403481,0.003696454,-0.008938853,-0.005685401,-0.003435029,-0.011456531,-0.013854854,-0.01029129,0.006464317,-0.013043963,-0.016699481,-0.006145927,-0.007788212,-0.001266702,0.010373838,-0.9508,0,0.046841475,-0.000188527,0.004168995,-0.4,-0.4,-0.135102485,-0.010582109,-0.084332405,-0.088224233,-0.080580487,-0.0199988,0.004393914,0.005831815,0.007117468,0.010536811,0.004959949,0.007400688,0.001405701,0.003587268,0.003149609,0.001766752,0.004293895,0.003998406,0.002284616,39.7,-0.2,40.3,7.31521839,5.59471138,5.948034989,6.188264123,5.897153868,6.992096427,5.446737372,5.545177444,5.720311777,5.686975356,-0.00335896,-0.023230848,0.011130252,0.020662252,-0.001429082,-0.000671816,-0.000689689,-0.00627918,-0.021853166,-0.033333333,-0.004530665,-0.001608993,0.006124488,0.000546748,-0.039544736,-0.043824195,0.195475953,-0.052881363,-0.02,-0.39,-0.44,-0.37,-0.23,-0.23,-0.05,0,-0.01,0.33,0.69,0.72,0.52,0.59,1.37,0.002492961,0.000720962,0.001249309,-0.001574886,-0.003025721,-0.003016594,0.006482988,-0.003294896,0,-0.011808097,0.002722015,0.004405293,0.00332779,-2.09E-05,-0.002989539,0,0.004210533,-0.003384098,0,0.006677803,0.001620458,0.003750027,0.00168254,0.00085808,-0.004555446,0.003853336,-0.004750183,0.008268451,0.005387665,-0.018942294,-0.009019477
Apr-60,0.001876858,0.000905138,0.014088709,-0.028039691,-0.001101989,-0.009019477,-0.003426821,-0.001150417,0.001152765,-0.019964613,0.009154973,0.002149171,-0.016551341,-0.032089259,0.000436196,-0.012366299,0.03731999,0.010267325,-1.3687,-86,-0.086165236,-0.008008896,-0.014536724,0.6,-0.1,0.152052043,0.079893909,0.131299415,0.230880534,0.025317808,0.132722506,-0.001082897,-0.011904292,-0.002463591,-0.057987258,-0.00368582,-0.006109671,-0.000156091,0.004943644,-0.001168697,0.001576163,-0.000896781,0.002789402,0.023619874,39.5,-0.1,40,7.011213987,4.983606622,5.327876169,6.059123196,5.796057751,6.86171134,5.111987788,5.241747015,5.609471795,5.789960171,-0.011126046,-0.0226252,0.00816158,0.030993377,-5.11E-07,0.002341081,0.003050733,0.019916913,0.02138544,0.033333333,0.001802545,0.000612257,0.002588954,0.00086914,-0.013718627,-0.015045504,0.113781872,-0.021169864,-0.13,-0.65,-0.69,-0.64,-0.38,-0.24,-0.07,-0.09,-0.53,-0.23,0.18,0.47,0.41,0.65,1.41,-0.000161393,0,0.000927048,-0.000735797,0.009022618,0.011976191,-0.003241494,0.009820046,0,-0.00583942,-0.001361007,-0.004405293,-0.003338901,-2.07E-05,0.005979078,-0.002600782,-1.77E-05,0,0,-0.003338901,-0.000454163,-0.004537123,0.001790702,-0.001146241,-2.01E-05,0.030131341,-0.004683849,0.003472085,0.000950902,0.003489993,-0.007958802
May-60,0.003464587,0.00361238,0.015302329,0.00985257,0.025903391,-0.007958802,0.00228983,0.001150417,0.006879977,-0.001189134,0.01019798,-0.010781271,-0.023633586,-0.036528249,-0.008796435,-0.007951868,0.001215828,0.030187026,-0.9828,-40,0.003764053,0.017104593,0.019689533,-0.2,-0.4,0.04058187,-0.111330683,-0.067950662,-0.109866478,-0.020666637,-0.030758711,0.006571084,0.003761049,0.005354184,0.041807278,-0.003379997,-0.006363609,0.000936184,0.008119509,0.014467121,0.003929572,0.017467227,0.002781643,0.001055162,39.8,-0.4,40,7.161622003,5.384495063,5.66296048,6.144185634,5.758901774,6.923628628,5.241747015,5.497168225,5.655991811,5.693732139,-0.010788158,-0.018693813,0.000105558,-0.010331125,-0.000716588,-0.000342209,-0.00177026,0.006050428,0.016590017,0.005747126,0.006563759,-0.001608146,0.00601105,0.001046178,0.012821846,0.012693747,-0.038945869,0.003859329,0.08,-0.08,-0.06,0.02,-0.02,0.03,-0.04,-0.05,-0.69,-0.37,0.12,0.37,0.36,0.53,1.28,0.000438005,-0.0010815,0.001282188,0.012539349,-0.009022618,-0.011976191,-0.003241494,-0.006568011,0,-8.55E-06,0.004410525,0.002195391,0.003338901,-2.05E-05,-8.91E-06,-6.78E-06,-0.004192878,0,0.003210276,0.00332779,0.003036133,0.004115226,0.004424255,0.001522902,-0.008948561,-0.06807429,0,0.008678176,0.005451725,0.024135978,-0.001142767
Jun-60,0.002405293,0.002427091,-0.020351428,-0.031517888,-0.015046831,-0.001142767,0.005687896,0.006862436,0.005698842,0.009454857,0.003375524,0.003249914,-0.009155173,-0.013623072,0.001562724,-0.005718229,-0.012266315,-0.027919324,-0.7882,-23,0.000838637,0.000675263,0.001484669,-0.1,-0.7,-0.00984659,0.069391993,-0.117085734,-0.130770231,-0.102528746,0.05758206,-0.006185511,-0.003709432,-0.010299649,0.005643169,-0.005059411,-0.007930083,-0.000936184,-0.007549562,-0.010875486,-0.00209385,-0.01320573,0.001189768,-0.012024193,39.6,0.3,40.1,7.147559271,5.370638028,5.697093487,6.126869184,5.703782475,6.958448393,5.411646052,5.480638923,5.710427017,5.655991811,0.012030517,-0.011083605,0.005998439,0.030993377,0.001431639,-7.11E-06,0.001671994,-0.004032264,-3.05E-05,0.005681445,-0.003075954,-0.001945208,-0.010668356,8.01E-05,-0.009193395,-0.010481922,0.038254125,-0.0112633,-0.07,0.06,0.03,0.17,0.2,0.07,0.01,0.08,-0.56,-0.27,0.36,0.64,0.5,0.61,1.43,-0.003301285,0.000720945,-0.00124655,0.015558502,0,0,0.003241494,-0.003252035,0,0.00292826,-0.003395468,-4.81E-06,-0.003350087,-0.00451468,-0.002980628,-6.82E-06,0.004175371,0,-1.03E-05,-0.00332779,-0.002587385,-0.001304418,-0.006700378,0.000565042,0.008948561,0.041619668,0,-0.004827284,-0.002067116,0.003798098,-0.01265309
Jul-60,0.000763742,-0.000234622,-0.00025,0.008552755,-0.001364294,-0.01265309,-0.01141233,-0.011467882,-0.006840747,-0.010640642,-0.005633873,-0.013052333,-0.016222461,-0.032522607,0.000875142,-0.011530955,0.006154229,-0.004540558,-1.2475,-40,-0.037326051,0.004413879,0.001678957,0.3,0,0.011574203,0.095817923,0.069076515,0.11560201,0.017834868,0.013853883,-0.002334066,-0.006940516,-0.005556382,-0.007309003,-0.007022998,-0.009974325,-0.002813821,0.000199405,-0.0008967,-0.001385846,-0.000357411,0.001979807,0,39.5,-0.2,39.9,7.128495946,5.33753808,5.777652323,6.011267174,5.730099783,6.864847778,5.170483995,5.361292166,5.65248918,5.648974238,0.018965583,-0.004504926,0.002200913,0.010331126,0,0.001979687,0.003237678,0.006018072,-3.02E-05,-0.000129136,0.002006163,-0.000784145,0.00335233,0.000869342,0.036277093,0.037035092,-0.119780118,0.034284162,-0.53,-0.83,-0.84,-0.85,-0.37,-0.2,-0.01,-0.02,-0.86,-0.58,0.04,0.8,0.83,1.13,1.94,-0.002199202,0.002165258,-0.001176743,0.004386643,0,0,0.003241494,-0.013072082,0,0.00292826,0.000336751,-0.002190581,0.003350087,0,0,-6.85E-06,-0.004175371,0,-0.003200003,0,-0.000580605,-0.00261139,0.000215482,-0.000764346,-0.00447428,-0.011428696,0,0.005126225,0.007419537,-0.009980606,-0.00347567
Aug-60,0.001790923,0.001914474,0.002060633,-0.006866013,-0.010098878,-0.00347567,-0.005757392,-0.005783638,-0.009197383,-0.038796336,0.002258349,-0.012103907,0.001167174,0.005886013,-0.0083222,-0.002324054,0.009764176,0.024721737,-0.4961,-65,-0.025579426,-0.002706207,-0.00392196,0.1,0.7,-0.016826623,0.001690617,0.075528842,0.128880858,0.010050336,0.037426964,-0.000773096,-0.003644888,-0.028103849,0.000999833,-0.003432757,-0.00474798,-0.001566662,0.000797221,-0.000448652,-0.000374883,0.000446744,0.00315956,0.001185256,39.6,0,39.9,7.087573706,5.288267031,5.723585102,5.976350909,5.700443573,6.906754779,5.38907173,5.411646052,5.590986981,5.66296048,-0.034640298,-0.014759388,0.003970332,0.010331126,0.004288784,0.001294775,0.008000043,0.003932259,0.005390206,-0.000126251,-0.010325828,0.00144214,-0.001355085,0.000359367,-0.025111841,-0.030091207,0.086601657,-0.020266514,-0.09,-0.16,-0.03,-0.16,-0.33,-0.25,-0.04,-0.04,-0.93,-0.52,-0.03,0.56,0.67,1.18,1.99,-0.000347685,-0.005404427,0.002031688,-0.003875579,0.002989539,0.00297177,-0.006482988,0.013072082,0,-0.00292826,-0.003380207,0.002185793,0,0.00449439,-0.002980628,0.002621233,0.00415801,0.003372684,0,0,0.001350931,0.002815853,0.001777828,0.00056336,0.00445435,0.007547206,0,-0.01092581,-0.003290869,0.032175941,-0.001162688
Sep-60,-0.001596956,-0.002540404,-0.000936125,-0.001265249,0.003414288,-0.001162688,-0.00231227,0,0.002309518,0.011064152,0,-0.013375611,-0.004676891,-0.005886013,-0.005269904,-0.004664375,0.003638801,-0.007801334,-0.677,-21,-0.017799336,0.001375496,-0.000212437,0.1,-0.4,0.021419053,0.083415392,0.006493529,-0.007707167,0.024692613,0.079062379,-0.000626278,-0.003396476,0.029276183,-0.009707189,-0.003444581,-0.003103871,-0.003927426,0.000881897,-8.98E-05,0.009070103,-0.000893687,0.00275645,0.003547361,39.4,0,39.7,7.203405521,5.433722004,5.645446898,6.171700597,5.866468057,6.901737207,5.33753808,5.438079309,5.598421959,5.655991811,0.059088916,0.007731757,-0.001878719,0.010331126,0.003526531,0.003228674,0.007165019,-0.01391859,-0.010869672,-0.005648322,-0.002666443,0.001210799,-0.002734733,0.000472625,0.011927155,0.011911893,-0.041403657,0.016672181,-0.25,0,-0.12,-0.25,-0.17,-0.1,-0.13,-0.14,-0.68,-0.39,-0.03,0.64,0.82,1.3,2.1,-0.000649336,-0.001436224,0.000640729,-0.008930005,-0.005979078,-0.005943541,0.003241494,-0.019934215,0,0,0.004056797,-0.002185793,0,-0.00449439,0.005961256,0,-0.00415801,-0.003372684,0,0.003316753,-0.000131611,0.000125973,0.000642274,-0.00076018,-1.98E-05,-5.65E-05,0.004662013,-0.002571895,-0.002300972,-0.024113051,-0.010521104
Oct-60,0.001302055,0.000273892,0.004734032,0.016089671,-0.000935016,-0.010521104,-0.008135311,-0.005817283,-0.004621396,-0.012298338,-0.003389439,-0.00902137,-0.016548435,-0.013069197,-0.007079226,-0.010568142,0.008439394,2.84E-06,-1.1318,-65,-0.009874423,0.004428832,0.00562947,-0.1,0.7,-0.040320975,-0.059217299,0.057637743,-0.001936109,0.128028474,-0.021339652,-0.000829501,-0.002515593,-0.006612323,-0.004720171,-0.001955035,-0.002445533,-0.001260041,8.53E-05,-0.001527061,-0.005439656,-0.000214604,0.002356639,0.002593424,39.1,-0.1,39.4,7.00033446,5.267858159,5.676753802,5.950642553,5.424950017,6.891625897,5.323009979,5.393627546,5.575949103,5.686975356,-0.007032554,0.002641153,0.001670147,-0.020662252,-0.00852328,-0.004289687,0.004812329,-0.004015815,0.005390849,-3.04E-05,0.003544352,0.000488636,0.003651523,0.000720887,-0.030544955,-0.033924556,0.10702825,-0.025609319,-0.38,0.18,0.24,0.12,-0.01,0,-0.03,-0.07,-0.12,0.23,0.47,1.01,1.2,1.65,2.41,-0.000905135,0,0.000889221,0.002779925,0.002989539,0.005943541,0,0.026623203,0,0,-0.002028398,0.002181026,-0.006734032,0.00447428,-0.002980628,-0.00526317,0.004140793,0,0,-0.003316753,-0.001092774,-0.004607697,-0.00161386,0.000373625,-0.004434597,-0.007490672,-2.16E-05,-0.006991018,-0.007052417,0.011518038,-0.00117636
Nov-60,0.002949134,0.00312488,0.00483542,-0.019032063,0.008765738,-0.00117636,0.005817682,0.004659059,0.010363095,0.011077741,0.010131589,-0.007959559,-0.003580954,-0.012034178,-0.006051595,-0.001179619,0.001199835,0.005576146,-0.39,-67,-0.052101004,-0.003813337,-0.009628654,0.6,0.6,0.051710619,0.055324729,0.191276588,0.188439753,0.194408444,0.05826283,-0.001568715,-0.005525021,-0.001623018,-0.00101437,-0.006478868,-0.00928055,-0.002524855,0.000568505,-0.000629468,-0.001757437,0.001018958,-0.000392388,0.000941398,39.4,0.1,39.7,7.127693699,5.655991811,5.605802066,5.955837369,5.710427017,6.879355804,5.278114659,5.446737372,5.572154032,5.638354669,-0.076310969,-0.018353424,-0.000834725,0.010331126,-0.001418942,-0.00131523,-0.001152849,0.01198408,0.00530444,0.010898937,0.001162908,0.000907339,-0.002614718,3.01E-05,-0.019901154,-0.018457776,0.071512461,-0.021800747,-0.13,-0.18,-0.1,-0.03,0.15,0.09,0.05,0.1,-0.17,0.26,0.57,1.29,1.42,1.83,2.64,0.000348226,0,-0.00039116,0.006252262,0.008941937,0.005890917,0,-4.44E-05,0,0.00291971,0.00471699,-4.75E-06,0.006734032,-0.00447428,0.00297177,0.00526317,-0.004140793,0,0.003189795,0.003305788,0.000576534,0.003548617,0.00107198,-0.000849873,0.004415018,0.003724399,-0.00464038,-0.0019301,-0.005246756,0.012381287,-0.014216453
